sample.id cell.type prediction dataset.name
1 1 NK.cells 0.423726260333336 ds2
2 2 NK.cells 0.0568587910129701 ds2
3 3 NK.cells 0.13611248569837 ds2
4 1 endothelial.cells 0.0347592565963254 ds2
5 2 endothelial.cells 0.0357416461056898 ds2
6 3 endothelial.cells 0.0379016407893633 ds2
7 1 fibroblasts 0.00956049953374323 ds2
8 2 fibroblasts 0.0146241371522315 ds2
9 3 fibroblasts 0.00593019548155467 ds2
10 1 neutrophils 0 ds2
11 2 neutrophils 0 ds2
12 3 neutrophils 0 ds2
13 1 B.cells 0.0503256568944712 ds2
14 2 B.cells 0.474942570262804 ds2
15 3 B.cells 0.0863221640711566 ds2
16 1 CD4.T.cells 0.0870010652120206 ds2
17 2 CD4.T.cells 0.151629959604531 ds2
18 3 CD4.T.cells 0.0713006132647976 ds2
19 1 CD8.T.cells 0.130511995215197 ds2
20 2 CD8.T.cells 0.0444376096437321 ds2
21 3 CD8.T.cells 0.0619052521311162 ds2
22 1 monocytic.lineage 0.264115266214907 ds2
23 2 monocytic.lineage 0.221765286218042 ds2
24 3 monocytic.lineage 0.600527648563642 ds2
